AR,phi,R/L,Fr,Qa/Qw,sigma
1,30,0.004554,26.27537,1.082376844,-0.418523023
1,30,0.004554,31.53044,1.215649095,-1.352229618
1,30,0.004554,37.51539,1.413441652,-2.479764638
1,30,0.002277,5.25507,0.273907609,36.22635098
1,30,0.002277,10.51015,0.554442016,8.595263342
1,30,0.002277,15.76522,0.871791961,2.823795036
1,30,0.002277,21.02029,1.081272378,0.403086996
1,30,0.002277,26.27537,1.129206209,-0.584045505
1,30,0.002277,31.53044,1.102993546,-0.934762889
1,30,0.002277,37.22344,1.209351472,-1.61303051
1,30,0.001518,5.25507,0.176714587,36.29634858
1,30,0.001518,10.51015,0.578740272,8.5512575
1,30,0.001518,15.76522,0.734838157,3.175457057
1,30,0.001518,21.02029,0.71458961,1.455530813
1,30,0.001518,26.27537,0.67770044,0.719825063
1,30,0.001518,31.53044,0.762817966,0.079630391
1,30,0.001518,37.22344,0.830142759,-0.376979906
1,40,0.010390,3.96839,0,49.8166436
1,40,0.010390,7.93678,0.279295249,12.23252504
1,40,0.010390,11.90517,0.429287142,5.011571699
1,40,0.010390,15.87356,0.73508958,1.578239452
1,40,0.010390,19.84195,0.930984164,-0.469954943
1,40,0.010390,23.81034,1.161144138,-2.446966637
1,40,0.010390,28.35947,1.256060745,-3.507189394
1,40,0.005195,3.96839,0.155164027,49.74823747
1,40,0.005195,7.93678,0.384030968,12.0351306
1,40,0.005195,11.90517,0.527557693,4.744407757
1,40,0.005195,15.87356,0.745757107,1.533355945
1,40,0.005195,19.84195,0.968999351,-0.675175044
1,40,0.005195,23.81034,0.993696292,-1.421768952
1,40,0.005195,28.45626,1.006191219,-1.907733742
1,40,0.002597,3.96839,0.155164027,49.74823747
1,40,0.002597,7.93678,0.380151867,12.0435531
1,40,0.002597,11.90517,0.523678592,4.755994045
1,40,0.002597,15.87356,0.667205318,1.848710878
1,40,0.002597,19.84195,0.573331081,1.058715138
1,40,0.002597,23.81034,0.554711398,0.509522558
1,40,0.002597,28.55305,0.65935507,-0.272968166
1,40,0.001732,3.96839,0,49.8166436
1,40,0.001732,7.93678,0.257960196,12.26509277
1,40,0.001732,11.90517,0.271537048,5.325688848
1,40,0.001732,15.87356,0.236625142,2.954453218
1,40,0.001732,19.84195,0.354549803,1.635501947
1,40,0.001732,23.81034,0.388556585,0.954831026
1,40,0.001732,28.16589,0.454721246,0.401414713
1,60,0.012535,2.47623,0,85.29606162
1,60,0.012535,4.95247,0.172578713,21.13361411
1,60,0.012535,7.42870,0.305678636,8.879994637
1,60,0.012535,9.90493,0.388302105,4.367097274
1,60,0.012535,12.38116,0.460886682,2.053892493
1,60,0.012535,14.85740,0.540859432,0.499237462
1,60,0.012535,17.54437,0.492412808,0.149087559
1,60,0.006268,2.47623,0.135355854,85.17893664
1,60,0.006268,4.95247,0.184422351,21.10658386
1,60,0.006268,7.42870,0.323726083,8.807377148
1,60,0.006268,9.90493,0.359538986,4.504609323
1,60,0.006268,12.38116,0.352601999,2.617029407
1,60,0.006268,14.85740,0.380124356,1.445601218
1,60,0.006268,17.54437,0.367757383,0.834561618
1,60,0.003134,2.47623,0,85.29606162
1,60,0.003134,4.95247,0,21.32401541
1,60,0.003134,7.42870,0.045118618,9.464326293
1,60,0.003134,9.90493,0.088827279,5.280562331
1,60,0.003134,12.38116,0.095425877,3.353628421
1,60,0.003134,14.85740,0.116180441,2.283044841
1,60,0.003134,17.54437,0.105551145,1.627944459
1,60,0.002089,2.47623,0,85.29606162
1,60,0.002089,4.95247,0,21.32401541
1,60,0.002089,7.42870,0,9.47734018
1,60,0.002089,9.90493,0,5.331003851
1,60,0.002089,12.38116,0,3.411842465
1,60,0.002089,14.85740,0,2.369335045
1,60,0.002089,17.54437,0,1.699167637
